                Time     Luminosity_Ratio     Variable_Star_DN      Variable_Sky_DN   Comparison_Star_DN    Comparison_Sky_DN 
            0.001680             1.914891         10141.636402          1073.824274          4981.841487           246.421705 
            0.001690             1.556320          9178.960540          1125.278481          5285.927915           111.102634 
            0.001700             2.139764         10797.051912             5.859554          5326.273385           283.104953 
            0.001710             1.897703         10382.488479             3.906369          5893.551439           424.527726 
            0.001720             1.597244          9846.461379          1693.411054          5342.936491           238.486892 
            0.001730             2.010098         10773.918882          1236.487930          5436.445204           691.686758 
            0.001740             1.730726         10506.149480           885.586108          5588.122196            29.435102 
            0.001750             1.624912          9844.874416           621.478927          5698.355052            22.110660 
            0.001760             2.108635         10064.485611          1866.023743          4766.380810           878.337962 
            0.001770             1.675117          9920.743431          1206.396680          5466.780602           264.549699 
            0.001780             1.850487         10342.875454          1069.063387          5878.963591           867.412336 
            0.001790             1.803466          9496.536149          1279.641102          4556.169317             0.000000 
            0.001800             3.286430          9906.338694           447.584460          4122.013001          1243.888668 
            0.001810             1.968482         10322.916349          1112.704855          5581.713309           902.874844 
            0.001820             2.755657         10025.055696          1590.014344          4535.477767          1474.486526 
            0.001830             1.785646         10242.042299           452.406384          5482.406079             0.000000 
            0.001840             2.251884         10384.807886           587.115085          5400.921659          1050.035096 
            0.001850             1.984406          9773.522141           763.267922          4794.640950           254.112369 
            0.001860             1.663148         10548.142949          1649.891659          5390.423292            40.177618 
            0.001870             2.188112         10450.544755           219.367046          4675.801874             0.000000 
            0.001880             1.890703          9165.105136          1476.302377          4464.857936           398.220771 
            0.001890             2.155763         10905.514695          1446.821497          5677.541429          1289.910581 
            0.001900             2.344512         10934.690390           368.358409          4522.415845            15.579699 
            0.001910             2.504254         10706.289865            15.503403          4269.051180             0.000000 
            0.001920             1.589607          9314.889981            99.856563          5797.051912             0.000000 
            0.001930             1.633979          9941.801202          1682.119205          5110.873745            55.925169 
            0.001940             2.087601         10984.679708           532.975249          5006.561480             0.000000 
            0.001950             2.393693         10558.275094           381.298257          5078.157903           826.578570 
            0.001960             1.933007         10053.987243           985.808893          5251.625111           560.396130 
